Time,Total Inflow,Total Outflow
5734,616.6216701327583,3998.7164579100795
5735,631.2271063320994,0.0
5736,632.138461535734,0.0
5737,632.138461535734,0.0
5738,632.138461535734,0.0
5739,632.138461535734,0.0
5740,632.138461535734,0.0
5741,632.138461535734,0.0
5742,628.7327089505695,0.0
5743,536.8857636138987,0.0
5744,520.2722115900068,0.0
5745,592.3357982867481,0.0
5746,574.467063997349,0.0
5747,316.1907903505692,0.0
5748,66.70541422626057,0.0
5749,49.72009091130846,0.0
5750,246.38773009524112,0.0
5751,443.2427662685603,0.0
5752,730.396934982012,3998.7164579100795
5753,1404.7307110409586,3998.7164579100795
5754,996.3472368002882,3998.7164579100795
5755,537.3785948118992,0.0
5756,592.5795724578395,0.0
5757,604.7864219235428,0.0
5758,574.4897930241442,0.0
5759,564.0586181562559,0.0
5760,580.4256783848216,0.0
5761,581.0981481431855,0.0
5762,581.0981481431855,0.0
5763,581.0981481431855,0.0
5764,554.81775743357,0.0
5765,394.4476459442131,0.0
5766,283.8510017079144,0.0
5767,429.26251262870574,0.0
5768,1072.91105449877,0.0
5769,889.5741017303675,0.0
5770,541.7894239835266,0.0
5771,837.1012342486482,3998.7164579100795
5772,868.5484804835602,3998.7164579100795
5773,499.5992419773044,3998.7164579100795
5774,797.4845750215412,0.0
5775,1210.792619118995,0.0
5776,1553.0786790433706,0.0
5777,2010.4411114043457,0.0
5778,2282.775572368407,0.0
5779,2436.6129753972086,0.0
5780,3056.5105753176595,3998.7164579100795
5781,3468.736431423703,3998.7164579100795
5782,3203.273491740857,3998.7164579100795
5783,2722.911672897472,3998.7164579100795
5784,2312.0100986321336,3998.7164579100795
5785,1974.4309439475776,3998.7164579100795
5786,1843.3882577321351,3998.7164579100795
5787,1862.5011283433364,0.0
5788,1854.009695090331,0.0
5789,1868.8271186544764,0.0
5790,1626.3062353856305,0.0
5791,1105.5812146179292,0.0
5792,1252.762633188416,0.0
5793,1282.2734374266706,3998.7164579100795
5794,1485.781504746415,3998.7164579100795
5795,1705.920361018608,3998.7164579100795
5796,1728.3414074146517,3998.7164579100795
5797,1759.9803314928693,0.0
5798,1764.300000011717,0.0
5799,1764.300000011717,0.0
5800,1764.300000011717,0.0
5801,1760.2360141348265,0.0
5802,1462.6529754364635,0.0
5803,964.6097827153818,3998.7164579100795
5804,834.3968144908282,3998.7164579100795
5805,632.7527604088011,3998.7164579100795
5806,641.8666666585153,0.0
5807,641.8666666585153,0.0
5808,641.8666666585153,0.0
5809,641.8666666585153,0.0
5810,641.8666666585153,0.0
5811,641.8180569769721,0.0
5812,549.9943685418942,0.0
5813,386.2283514229009,0.0
5814,349.6955526971727,0.0
5815,312.85602866713737,0.0
5816,376.55477622772827,0.0
5817,519.403448712156,0.0
5818,538.1808907259663,0.0
5819,547.6684803099857,0.0
5820,530.2518211214184,0.0
5821,512.6312602585526,0.0
5822,521.0396962185984,3998.7164579100795
5823,521.7381578901477,3998.7164579100795
5824,521.7381578901477,3998.7164579100795
5825,512.783085718011,0.0
5826,488.69380427922,0.0
5827,507.36392969456574,0.0
5828,514.7810935368393,0.0
5829,498.8043810069022,0.0
5830,1060.492232881714,0.0
5831,1688.7850551856259,0.0
5832,1747.4970098044728,0.0
5833,1757.31720130112,0.0
5834,1759.099999993847,0.0
5835,1745.141920172632,3998.7164579100795
5836,1142.406655165669,3998.7164579100795
5837,343.4169619581388,3998.7164579100795
5838,173.45555512588464,0.0
5839,109.47268960309839,0.0
5840,110.99123059874645,0.0
5841,247.9975441384706,0.0
5842,716.4061897938981,0.0
5843,1247.4674374531128,0.0
5844,1552.6766449613563,0.0
5845,1109.4631388694656,0.0
5846,603.8978807221216,0.0
5847,549.4145232482371,0.0
5848,719.2531220971487,0.0
5849,1374.0967683536696,0.0
5850,1699.4690579825865,3998.7164579100795
5851,1651.5855698693445,3998.7164579100795
5852,1062.7741150824427,3998.7164579100795
5853,573.4447038326196,0.0
5854,555.7674603138687,0.0
5855,555.7674603138687,0.0
5856,555.7674603138687,0.0
5857,555.7674603138687,0.0
5858,555.7674603138687,0.0
5859,555.7674603138687,0.0
5860,555.7674603138687,0.0
5861,555.7674603138687,0.0
5862,555.7674603138687,0.0
5863,555.7674603138687,0.0
5864,517.9404587178898,0.0
5865,805.7284280470345,0.0
5866,1052.5515565761914,3998.7164579100795
5867,730.7306465786976,3998.7164579100795
5868,738.691892983126,3998.7164579100795
5869,908.4670292195717,0.0
5870,762.5381382876141,0.0
5871,602.8320563593799,0.0
5872,562.7949453859067,0.0
5873,1084.3623430715138,0.0
5874,1667.8212693671535,0.0
5875,1732.7627154926247,0.0
5876,1676.4096539742009,0.0
5877,1057.409240819554,0.0
5878,545.3501153602609,3998.7164579100795
5879,543.0328524623114,3998.7164579100795
5880,543.6296296228137,3998.7164579100795
5881,543.6296296228137,0.0
5882,494.7248440645034,0.0
5883,365.7135771844358,0.0
5884,322.34100718702024,0.0
5885,322.34100718702024,0.0
5886,322.34100718702024,0.0
5887,582.0115887031033,0.0
5888,794.8320994330682,0.0
5889,491.78115493198663,0.0
5890,525.7235945271364,0.0
5891,1038.3566085462276,0.0
5892,1635.2495646876787,0.0
5893,1763.664511666459,0.0
5894,1775.999999999821,0.0
5895,1775.999999999821,3998.7164579100795
5896,1775.999999999821,3998.7164579100795
5897,1771.4706444919038,3998.7164579100795
5898,1465.4347686727779,3998.7164579100795
5899,1061.3391184492918,0.0
