167,5.700182586832389,57.090954,127.68473,0.0,0.0
Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
168,5.700182586832389,61.08889,112.756294,0.0,0.0
Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
169,5.700182586832389,61.9285,89.75271,0.0,0.0
Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
170,5.700182586832389,58.733673,62.49581,0.0,0.0
Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
171,5.700182586832389,60.65182,37.25762,0.0,0.0
Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
172,5.700182586832389,57.717926,27.078411,0.0,0.0
Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
173,5.700182586832389,55.14415,29.858603,0.0,0.0
Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
174,5.700182586832389,51.173397,46.46014,0.0,0.0
Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
175,5.700182586832389,49.182774,73.53655,0.0,0.0
Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
176,5.700182586832389,50.549274,111.154625,0.0,0.0
Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
177,5.700182586832389,42.574512,142.42903,0.0,0.0
Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
178,5.700182586832389,46.06202,162.40115,0.0,0.0
Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
179,5.700182586832389,45.590473,171.50851,0.0,0.0
Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
180,5.700182586832389,38.62314,175.01073,0.0,0.0
Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
181,5.700182586832389,41.610413,174.18633,0.0,0.0
Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
182,5.700182586832389,39.53954,170.68147,0.0,0.0
Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
183,5.700182586832389,41.053055,169.92673,0.0,0.0
Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
184,5.700182586832389,44.076202,174.47884,0.0,0.0
Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
185,5.700182586832389,46.120033,176.26558,0.0,0.0
Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
186,5.700182586832389,50.035606,177.49852,0.0,0.0
Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
187,5.700182586832389,47.645653,172.7844,0.0,0.0
Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
188,5.700182586832389,52.01175,165.60408,0.0,0.0
